Route Region,Factory,Region,Total_Shipments,Average_Lead_Time,Median_Lead_Time,Lead_Time_Variability,Delay_Frequency,Sales,Gross_Profit,Lead_Component,Variability_Component,Delay_Component,Route_Efficiency_Score,Eligible_for_Ranking,Rank
The Other Factory → Interior,The Other Factory,Interior,11,4.0,4.0,1.1832159566199232,0.09090909090909091,126.75,9.75,73.07692307692308,100.0,100.0,86.53846153846155,True,1.0
Secret Factory → Interior,Secret Factory,Interior,45,3.8666666666666667,4.0,1.7002673586554236,0.15555555555555556,1590.0,806.8,82.82051282051283,37.14604315104786,84.19753086419753,71.74614991406776,True,2.0
The Other Factory → Pacific,The Other Factory,Pacific,31,3.903225806451613,4.0,1.7000948740129658,0.1935483870967742,386.25,61.25,80.14888337468983,37.167010780632594,74.91039426523298,68.09379294881131,True,3.0
The Other Factory → Gulf,The Other Factory,Gulf,19,3.6315789473684212,4.0,2.005839428485116,0.21052631578947367,262.5,26.5,99.99999999999999,0.0,70.76023391812866,67.69005847953215,True,4.0
Sugar Shack → Interior,Sugar Shack,Interior,8,4.0,3.5,1.6903085094570331,0.25,44.74,23.39,73.07692307692308,38.35666374953504,61.111111111111114,61.40540525362308,True,5.0
Secret Factory → Pacific,Secret Factory,Pacific,63,3.9682539682539684,4.0,1.8401284489549512,0.20634920634920634,3076.25,1558.05,75.39682539682539,20.144207550319063,71.78130511463846,60.67979086465208,True,6.0
Secret Factory → Gulf,Secret Factory,Gulf,35,4.285714285714286,4.0,1.5448477665610745,0.17142857142857143,930.0,480.0,52.19780219780222,56.03920599041532,80.31746031746032,60.188067675870016,True,7.0
Secret Factory → Atlantic,Secret Factory,Atlantic,70,4.185714285714286,4.0,1.679310220219894,0.21428571428571427,2991.25,1499.85,59.5054945054945,39.69364106823493,69.84126984126983,57.13647498012344,True,8.0
Lot's O' Nuts → Atlantic,Lot's O' Nuts,Atlantic,1378,4.227866473149492,4.0,1.7896762622803697,0.23076923076923078,22166.13,15315.63,56.42514234676793,26.277291324380073,65.81196581196582,51.23488545747044,True,9.0
The Other Factory → Atlantic,The Other Factory,Atlantic,37,4.135135135135135,4.0,1.9316395189660083,0.24324324324324326,506.75,54.75,63.20166320166321,9.019911546028364,62.76276276276276,49.54650017802939,True,10.0
Lot's O' Nuts → Gulf,Lot's O' Nuts,Gulf,745,4.303355704697987,4.0,1.7747639592935551,0.23758389261744967,12023.12,8313.42,50.90862157976251,28.090065150660866,64.1461595824012,48.51336697314677,True,11.0
Wicked Choccy's → Gulf,Wicked Choccy's,Gulf,547,4.290676416819013,4.0,1.778371507665926,0.24862888482632542,8993.25,5857.51,51.83518492476448,27.65152327874086,61.44627259800936,48.19204143156979,True,12.0
Wicked Choccy's → Atlantic,Wicked Choccy's,Atlantic,973,4.294964028776978,4.0,1.7974448381621078,0.23741007194244604,15414.5,10039.66,51.52185943552851,25.332925384501912,64.18864908073542,48.14132333407359,True,13.0
Lot's O' Nuts → Interior,Lot's O' Nuts,Interior,1113,4.360287511230908,4.0,1.7044495060581293,0.24528301886792453,17856.86,12353.56,46.74822033312597,36.63765170031242,62.26415094339623,48.099560827490144,True,14.0
Lot's O' Nuts → Pacific,Lot's O' Nuts,Pacific,1524,4.234251968503937,4.0,1.8487404182595322,0.25065616797900264,24294.04,16788.44,55.95850999394307,19.09731676746133,60.950714494021575,47.99126281234226,True,15.0
Wicked Choccy's → Pacific,Wicked Choccy's,Pacific,1123,4.349955476402493,5.0,1.8187642221295726,0.2591273374888691,18525.75,12067.41,47.503253647510135,22.741292067849052,58.879984169387555,44.156945883064225,True,16.0
Wicked Choccy's → Interior,Wicked Choccy's,Interior,802,4.437655860349127,5.0,1.7720900407093714,0.27680798004987534,12419.25,8088.99,41.09437943602531,28.415112839626147,54.55804932114159,41.29048025820459,True,17.0
Sugar Shack → Atlantic,Sugar Shack,Atlantic,18,5.0,5.5,1.7489492643904123,0.5,118.61,63.81,0.0,31.228158796908442,0.0,7.8070396992271105,True,18.0
Sugar Shack → Pacific,Sugar Shack,Pacific,3,4.333333333333333,4.0,0.5773502691896257,0.0,19.24,10.79,48.71794871794875,173.6504255168619,122.22222222222223,98.32713629374541,False,
Sugar Shack → Gulf,Sugar Shack,Gulf,4,4.75,5.0,1.2583057392117916,0.25,38.39,23.240000000000002,18.26923076923077,90.87191343791686,61.111111111111114,47.13037152187238,False,
