Route State,Factory,State/Province,State Code,Region,Total_Shipments,Average_Lead_Time,Median_Lead_Time,Lead_Time_Variability,Delay_Frequency,Sales,Gross_Profit,Lead_Component,Variability_Component,Delay_Component,Route_Efficiency_Score,Eligible_for_Ranking,Rank
Wicked Choccy's → Vermont,Wicked Choccy's,Vermont,VT,Atlantic,5,3.6,4.0,0.8944271909999159,0.0,51.75,33.69,92.3611111111111,84.0127918622162,100.0,92.1837535211096,True,1.0
Lot's O' Nuts → Ontario,Lot's O' Nuts,Ontario,,Atlantic,24,3.3333333333333335,3.0,1.2740441145412122,0.0,348.32,239.22,98.84259259259257,67.95844639446926,100.0,91.4109078949136,True,2.0
Wicked Choccy's → Ontario,Wicked Choccy's,Ontario,,Atlantic,17,3.588235294117647,4.0,1.0641207361838554,0.0,466.25,303.35,92.6470588235294,76.83629727231332,100.0,90.53260372984303,True,3.0
The Other Factory → Texas,The Other Factory,Texas,TX,Interior,9,3.6666666666666665,4.0,1.0,0.0,100.75,7.75,90.74074074074073,79.54802160941308,100.0,90.25737577272363,True,4.0
Wicked Choccy's → Nova Scotia,Wicked Choccy's,Nova Scotia,,Atlantic,6,3.6666666666666665,4.0,1.0327955589886446,0.0,87.5,56.900000000000006,90.74074074074073,78.16106754819802,100.0,89.91063725741986,True,5.0
Lot's O' Nuts → New Hampshire,Lot's O' Nuts,New Hampshire,NH,Atlantic,13,3.4615384615384617,4.0,1.3301243435223524,0.0,178.02,123.02,95.72649572649573,65.58676243060711,100.0,89.25993847089964,True,6.0
Wicked Choccy's → Louisiana,Wicked Choccy's,Louisiana,LA,Gulf,14,3.2857142857142856,3.0,1.489892687336984,0.07142857142857142,220.5,143.54,100.0,58.83001364690639,91.07142857142857,87.47536055458373,True,7.0
Lot's O' Nuts → Nebraska,Lot's O' Nuts,Nebraska,NE,Interior,20,3.45,4.0,1.5719582155957412,0.0,295.28000000000003,205.38,96.00694444444443,55.35938770808174,100.0,86.84331914924265,True,8.0
Wicked Choccy's → Manitoba,Wicked Choccy's,Manitoba,,Interior,6,3.8333333333333335,4.0,1.1690451944500122,0.0,120.25,78.27,86.68981481481481,72.39894636259332,100.0,86.44464399805574,True,9.0
Lot's O' Nuts → Montana,Lot's O' Nuts,Montana,MT,Pacific,7,4.571428571428571,5.0,0.5345224838248487,0.0,92.61,64.00999999999999,68.75,99.23348974511306,100.0,84.18337243627826,True,10.0
Secret Factory → Illinois,Secret Factory,Illinois,IL,Interior,13,3.5384615384615383,4.0,1.5063966175050874,0.07692307692307693,546.25,273.65,93.8568376068376,58.13204740761812,90.3846153846154,84.05758450147718,True,11.0
Lot's O' Nuts → Louisiana,Lot's O' Nuts,Louisiana,LA,Gulf,21,3.4761904761904763,4.0,1.7498299237082333,0.047619047619047616,283.71000000000004,197.31,95.37037037037037,47.83703115891291,94.04761904761905,83.15634773681818,True,12.0
Secret Factory → Georgia,Secret Factory,Georgia,GA,Gulf,6,4.5,5.0,0.8366600265340756,0.0,317.5,159.1,70.48611111111111,86.45581786425866,100.0,81.85701002162023,True,13.0
Wicked Choccy's → Colorado,Wicked Choccy's,Colorado,CO,Pacific,49,3.7551020408163267,4.0,1.5749419598419332,0.061224489795918366,906.5,590.22,88.59126984126983,55.233202446189544,92.34693877551021,81.19067022605986,True,14.0
Secret Factory → Ohio,Secret Factory,Ohio,OH,Atlantic,12,4.0,4.0,1.2792042981336627,0.08333333333333333,768.75,384.95,82.6388888888889,67.74021753023058,89.58333333333333,80.65033216033542,True,15.0
Wicked Choccy's → Alabama,Wicked Choccy's,Alabama,AL,Gulf,18,3.888888888888889,4.0,1.5676467522593478,0.1111111111111111,333.75,217.25,85.3395061728395,55.54172341964138,86.1111111111111,78.08296171910787,True,16.0
Wicked Choccy's → Idaho,Wicked Choccy's,Idaho,ID,Pacific,6,3.8333333333333335,3.5,1.4719601443879746,0.16666666666666666,78.75,51.25,86.68981481481481,59.58839722194025,79.16666666666667,78.03367337955913,True,17.0
Secret Factory → Colorado,Secret Factory,Colorado,CO,Pacific,7,3.2857142857142856,3.0,2.214669705568283,0.14285714285714285,171.25,103.85,100.0,28.178533388274033,82.14285714285715,77.5803476327828,True,18.0
Secret Factory → Virginia,Secret Factory,Virginia,VA,Gulf,5,3.4,2.0,1.949358868961793,0.2,93.75,47.15,97.22222222222221,39.398770324718726,75.0,77.2108036922908,True,19.0
Secret Factory → Texas,Secret Factory,Texas,TX,Interior,16,3.6875,4.0,1.8518009252256753,0.125,517.5,268.7,90.234375,43.524584625229664,84.375,77.09208365630741,True,20.0
Lot's O' Nuts → South Carolina,Lot's O' Nuts,South Carolina,SC,Gulf,18,3.7777777777777777,4.0,1.8005082797253327,0.1111111111111111,281.32,194.92000000000002,88.04012345679013,45.693797322954914,86.1111111111111,76.97128883691157,True,21.0
Lot's O' Nuts → Massachusetts,Lot's O' Nuts,Massachusetts,MA,Atlantic,58,4.0,4.0,1.5894388284780523,0.13793103448275862,1003.24,690.54,82.6388888888889,54.6201166672056,82.75862068965517,75.66412878365963,True,22.0
Lot's O' Nuts → Kansas,Lot's O' Nuts,Kansas,KS,Interior,15,4.2,4.0,1.3732131246511905,0.13333333333333333,188.93,130.82999999999998,77.77777777777777,63.7644986295802,83.33333333333333,75.66334687961727,True,23.0
Lot's O' Nuts → Virginia,Lot's O' Nuts,Virginia,VA,Gulf,91,3.912087912087912,4.0,1.6842298051720959,0.14285714285714285,1538.84,1059.24,84.77564102564102,50.61131992317484,82.14285714285715,75.57636477932851,True,24.0
Lot's O' Nuts → Rhode Island,Lot's O' Nuts,Rhode Island,RI,Atlantic,23,3.8260869565217392,4.0,1.6963108075265056,0.17391304347826086,353.76,242.86,86.8659420289855,50.100403329717814,78.26086956521739,75.52328923822655,True,25.0
Wicked Choccy's → Rhode Island,Wicked Choccy's,Rhode Island,RI,Atlantic,18,3.7777777777777777,3.0,1.6647047275914604,0.2222222222222222,282.25,183.82999999999998,88.04012345679013,51.437053238328225,72.22222222222223,74.93488059353268,True,26.0
Wicked Choccy's → South Carolina,Wicked Choccy's,South Carolina,SC,Gulf,14,3.7142857142857144,4.0,1.9778998741311231,0.14285714285714285,307.0,200.16,89.58333333333333,38.191745219750416,82.14285714285715,74.87531725731856,True,27.0
Lot's O' Nuts → Idaho,Lot's O' Nuts,Idaho,ID,Pacific,12,4.0,4.0,1.5954480704349312,0.16666666666666666,146.5,100.89999999999999,82.6388888888889,54.365980351376905,79.16666666666667,74.70260619895535,True,28.0
Secret Factory → California,Secret Factory,California,CA,Pacific,31,3.967741935483871,4.0,1.6829313903175402,0.16129032258064516,1238.75,620.55,83.42293906810035,50.66623107002529,79.83870967741936,74.33770472091135,True,29.0
The Other Factory → California,The Other Factory,California,CA,Pacific,21,3.857142857142857,4.0,1.7402791237532642,0.19047619047619047,233.75,33.75,86.11111111111111,48.240943188282,76.19047619047619,74.16341040024511,True,30.0
Lot's O' Nuts → Pennsylvania,Lot's O' Nuts,Pennsylvania,PA,Atlantic,270,4.137037037037037,4.0,1.5423749726457494,0.16296296296296298,4338.55,2993.65,79.30812757201647,56.61048999810857,79.62962962962963,73.71409369294278,True,31.0
Secret Factory → Pennsylvania,Secret Factory,Pennsylvania,PA,Atlantic,19,3.9473684210526314,4.0,1.8096557134354563,0.15789473684210525,762.5,382.9,83.91812865497076,45.30694401948342,80.26315789473685,73.35158980604044,True,32.0
Secret Factory → Florida,Secret Factory,Florida,FL,Gulf,6,4.333333333333333,4.5,1.3662601021279464,0.16666666666666666,78.75,52.15,74.53703703703705,64.05854828519585,79.16666666666667,73.07482225648415,True,33.0
Wicked Choccy's → Missouri,Wicked Choccy's,Missouri,MO,Interior,25,4.2,4.0,1.5811388300841898,0.16,362.25,235.82999999999998,77.77777777777777,54.97113115927242,80.0,72.631671678707,True,34.0
Lot's O' Nuts → British Columbia,Lot's O' Nuts,British Columbia,,Pacific,18,4.777777777777778,5.0,1.0032626514091005,0.16666666666666666,253.4,173.8,63.73456790123458,79.41004110956102,79.16666666666667,71.51146089467422,True,35.0
Secret Factory → Wisconsin,Secret Factory,Wisconsin,WI,Interior,5,4.4,5.0,1.3416407864998738,0.2,415.0,207.8,72.91666666666666,65.0997215674233,75.0,71.48326372518915,True,36.0
Wicked Choccy's → Kansas,Wicked Choccy's,Kansas,KS,Interior,8,4.125,4.5,1.8850918886280925,0.125,74.25,48.39,79.60069444444444,42.11667946012081,84.375,71.42326708725243,True,37.0
Wicked Choccy's → Ohio,Wicked Choccy's,Ohio,OH,Atlantic,157,3.9554140127388533,4.0,1.9622852619559592,0.19745222929936307,2479.75,1615.73,83.72257607926397,38.85210139108876,75.31847133757962,70.40393122179908,True,38.0
Wicked Choccy's → Virginia,Wicked Choccy's,Virginia,VA,Gulf,85,4.188235294117647,4.0,1.7007989554426277,0.2,1490.0,970.2,78.06372549019608,49.91059546634964,75.0,70.25951161168544,True,39.0
Wicked Choccy's → Maryland,Wicked Choccy's,Maryland,MD,Atlantic,32,4.28125,5.0,1.727096668755344,0.15625,652.25,425.23,75.8029513888889,48.79844121728285,80.46875,70.21827349876517,True,40.0
Lot's O' Nuts → Ohio,Lot's O' Nuts,Ohio,OH,Atlantic,218,3.903669724770642,4.0,1.9615862388493763,0.23394495412844038,3472.7400000000002,2400.24,84.980249745158,38.88166371496602,70.75688073394495,69.89976098480675,True,41.0
Lot's O' Nuts → Alberta,Lot's O' Nuts,Alberta,,Pacific,12,4.916666666666667,5.0,0.7929614610987592,0.25,204.32,141.42000000000002,60.35879629629629,88.30386999902393,68.75,69.44286564790413,True,42.0
Wicked Choccy's → Mississippi,Wicked Choccy's,Mississippi,MS,Gulf,17,4.411764705882353,5.0,1.4168108346481796,0.23529411764705882,315.75,205.61,72.63071895424835,61.920711763165215,70.58823529411764,69.44259624144489,True,43.0
Lot's O' Nuts → Colorado,Lot's O' Nuts,Colorado,CO,Pacific,82,4.048780487804878,4.0,1.8849792154232197,0.21951219512195122,1447.66,999.0600000000001,81.45325203252031,42.121444512582414,72.5609756097561,69.39723104684478,True,44.0
Wicked Choccy's → Kentucky,Wicked Choccy's,Kentucky,KY,Gulf,45,4.377777777777778,4.0,1.5119056140707283,0.2222222222222222,769.25,501.39,73.45679012345678,57.899066925029565,72.22222222222223,69.25871734854134,True,45.0
Lot's O' Nuts → Missouri,Lot's O' Nuts,Missouri,MO,Interior,30,4.433333333333334,5.0,1.4307782626184984,0.23333333333333334,514.08,359.08,72.10648148148148,61.33001651217497,70.83333333333333,69.09407820211781,True,46.0
Wicked Choccy's → Utah,Wicked Choccy's,Utah,UT,Pacific,22,4.5,5.0,1.4392458342578487,0.22727272727272727,362.5,236.1,70.48611111111111,60.97191519492367,71.5909090909091,68.38376162701374,True,47.0
Lot's O' Nuts → Maryland,Lot's O' Nuts,Maryland,MD,Atlantic,44,4.181818181818182,4.0,1.8958059864517742,0.20454545454545456,812.74,567.54,78.21969696969697,41.663570504302854,74.43181818181817,68.13369565637875,True,48.0
Lot's O' Nuts → California,Lot's O' Nuts,California,CA,Pacific,944,4.123940677966102,4.0,1.866856352595978,0.24046610169491525,15044.9,10401.0,79.62644185499057,42.88787688861813,69.9417372881356,68.02062447168372,True,49.0
Secret Factory → Arizona,Secret Factory,Arizona,AZ,Pacific,5,4.4,4.0,1.6733200530681511,0.2,640.0,320.0,72.91666666666666,51.07270327671533,75.0,67.97650915251216,True,50.0
Wicked Choccy's → North Carolina,Wicked Choccy's,North Carolina,NC,Gulf,91,4.21978021978022,4.0,1.768880360266835,0.24175824175824176,1376.25,896.75,77.29700854700855,47.0313708449045,69.78021978021978,67.85140192978534,True,51.0
Wicked Choccy's → Georgia,Wicked Choccy's,Georgia,GA,Gulf,55,4.127272727272727,5.0,1.9536721876596947,0.21818181818181817,862.25,561.43,79.54545454545456,39.21635614823094,72.72727272727273,67.7586344916032,True,52.0
Lot's O' Nuts → Texas,Lot's O' Nuts,Texas,TX,Interior,479,4.263048016701461,4.0,1.7397974861082703,0.23799582463465555,7642.34,5278.34,76.24536070517283,48.26131208298478,70.25052192066806,67.75063885349962,True,53.0
Lot's O' Nuts → Connecticut,Lot's O' Nuts,Connecticut,CT,Atlantic,40,4.125,5.0,1.9373190568941214,0.225,523.59,362.29,79.60069444444444,39.90794494343174,71.875,67.74608345808016,True,54.0
Wicked Choccy's → Wisconsin,Wicked Choccy's,Wisconsin,WI,Interior,42,4.428571428571429,5.0,1.6251507568771575,0.21428571428571427,737.25,479.83,72.22222222222221,53.10982668726927,73.21428571428572,67.69213921149986,True,55.0
Wicked Choccy's → Nevada,Wicked Choccy's,Nevada,NV,Pacific,10,4.2,4.0,1.9321835661585915,0.2,151.5,98.82,77.77777777777777,40.12512952425995,75.0,67.67017126995387,True,56.0
Lot's O' Nuts → North Carolina,Lot's O' Nuts,North Carolina,NC,Gulf,120,4.333333333333333,4.0,1.7457431218879393,0.21666666666666667,2045.6100000000001,1417.01,74.53703703703705,48.00986573032547,72.91666666666667,67.50015161776656,True,57.0
Wicked Choccy's → Massachusetts,Wicked Choccy's,Massachusetts,MA,Atlantic,43,4.627906976744186,5.0,1.4313373003352912,0.20930232558139536,671.25,436.95,67.37726098191214,61.306374297936564,73.83720930232558,67.47452639102161,True,58.0
Wicked Choccy's → Pennsylvania,Wicked Choccy's,Pennsylvania,PA,Atlantic,188,4.329787234042553,4.0,1.7205166359543047,0.22872340425531915,2804.25,1826.99,74.6232269503546,49.0767167978116,71.40957446808511,67.43318629165148,True,59.0
Lot's O' Nuts → Utah,Lot's O' Nuts,Utah,UT,Pacific,21,4.523809523809524,5.0,1.4703417160322838,0.23809523809523808,393.91,270.11,69.9074074074074,59.65684203123557,70.23809523809523,67.42743802103641,True,60.0
Lot's O' Nuts → Kentucky,Lot's O' Nuts,Kentucky,KY,Gulf,63,4.301587301587301,4.0,1.728647808631869,0.23809523809523808,1039.13,715.73,75.30864197530865,48.732842099060655,70.23809523809523,67.3970553219433,True,61.0
Lot's O' Nuts → Illinois,Lot's O' Nuts,Illinois,IL,Interior,235,4.519148936170213,5.0,1.5172284529951068,0.2297872340425532,3539.21,2452.51,70.02068557919623,57.67395921865028,71.27659574468086,67.2479815304309,True,62.0
Wicked Choccy's → Texas,Wicked Choccy's,Texas,TX,Interior,326,4.248466257668712,4.0,1.8084198228788109,0.24539877300613497,5140.5,3347.74,76.59977845944103,45.35921095682546,69.32515337423312,66.97098031248515,True,63.0
Lot's O' Nuts → Wisconsin,Lot's O' Nuts,Wisconsin,WI,Interior,44,4.340909090909091,5.0,1.7645499039801518,0.22727272727272727,768.25,531.95,74.35290404040404,47.214509785631485,71.5909090909091,66.87780673933716,True,64.0
Lot's O' Nuts → Florida,Lot's O' Nuts,Florida,FL,Gulf,176,4.25,4.5,1.8283482006601315,0.24431818181818182,2640.13,1820.73,76.5625,44.51642170884219,69.46022727272727,66.77541224539236,True,65.0
Wicked Choccy's → Connecticut,Wicked Choccy's,Connecticut,CT,Atlantic,30,3.8,4.0,2.3838537330737504,0.23333333333333334,440.75,287.01,87.5,21.023586765084044,70.83333333333333,66.71423002460435,True,66.0
Wicked Choccy's → Quebec,Wicked Choccy's,Quebec,,Atlantic,16,4.9375,5.0,1.2365947867699694,0.1875,254.75,165.53,59.85243055555556,69.5422125763503,76.5625,66.45239342186535,True,67.0
Lot's O' Nuts → Michigan,Lot's O' Nuts,Michigan,MI,Interior,118,4.203389830508475,4.0,1.869957365179219,0.2627118644067797,2103.76,1450.86,77.69538606403013,42.75673224193916,67.16101694915255,66.32713032978799,True,68.0
Wicked Choccy's → New Hampshire,Wicked Choccy's,New Hampshire,NH,Atlantic,10,4.5,4.5,1.7159383568311668,0.2,208.25,135.51,70.48611111111111,49.27033639201979,75.0,66.31063965356051,True,69.0
Wicked Choccy's → California,Wicked Choccy's,California,CA,Pacific,689,4.330914368650218,4.0,1.7876154719361357,0.24528301886792453,11394.0,7421.32,74.59583131752943,46.23904590767591,69.33962264150945,66.19258279606106,True,70.0
Lot's O' Nuts → Georgia,Lot's O' Nuts,Georgia,GA,Gulf,88,4.306818181818182,5.0,1.852974958397234,0.23863636363636365,1474.09,1027.79,75.18150252525253,43.47493369304527,70.17045454545455,66.00209832225121,True,71.0
Secret Factory → New York,Secret Factory,New York,NY,Atlantic,23,4.173913043478261,4.0,1.8501148345942668,0.30434782608695654,1026.25,514.45,78.41183574879227,43.59589093379475,61.95652173913044,65.59402104262743,True,72.0
Lot's O' Nuts → New York,Lot's O' Nuts,New York,NY,Atlantic,544,4.3474264705882355,4.0,1.8193437775625243,0.25735294117647056,8757.81,6055.01,74.19449550653594,44.89722696325024,67.83088235294119,65.27927508231582,True,73.0
Secret Factory → Washington,Secret Factory,Washington,WA,Pacific,11,4.2727272727272725,4.0,1.9021518914592017,0.2727272727272727,351.25,175.85,76.01010101010102,41.39519640141946,65.9090909090909,64.8311223326781,True,74.0
Sugar Shack → New York,Sugar Shack,New York,NY,Atlantic,9,4.555555555555555,5.0,1.4240006242195884,0.3333333333333333,56.97,29.12,69.13580246913581,61.61664901342523,58.333333333333336,64.55539682125755,True,75.0
Lot's O' Nuts → Washington,Lot's O' Nuts,Washington,WA,Pacific,230,4.3826086956521735,5.0,1.8764577271206462,0.25217391304347825,3492.9100000000003,2415.91,73.33937198067633,42.481826014631004,68.47826086956522,64.40970771138723,True,76.0
