Order ID,Factory,State/Province,State Code,Region,Ship Mode,Order Date,Ship Date,Operational Lead Time Days,Raw Lead Time Days,Sales,Units,Gross Profit,Cost,Delayed,Route State,Route Region
CA-2021-100867-CHO-FUD-51000,Lot's O' Nuts,British Columbia,,Pacific,Standard Class,2024-10-19,2027-04-16,5,909,10.8,3,7.2,3.6,False,Lot's O' Nuts → British Columbia,Lot's O' Nuts → Pacific
CA-2021-107153-CHO-FUD-51000,Lot's O' Nuts,Quebec,,Atlantic,Standard Class,2024-09-28,2027-03-26,5,909,7.2,2,4.8,2.4,False,Lot's O' Nuts → Quebec,Lot's O' Nuts → Atlantic
CA-2021-115238-CHO-FUD-51000,Lot's O' Nuts,Ontario,,Atlantic,Standard Class,2024-01-21,2026-07-17,4,908,21.6,6,14.4,7.2,False,Lot's O' Nuts → Ontario,Lot's O' Nuts → Atlantic
CA-2021-115238-CHO-MIL-31000,Wicked Choccy's,Ontario,,Atlantic,Standard Class,2024-01-21,2026-07-17,4,908,35.75,11,23.21,12.540000000000001,False,Wicked Choccy's → Ontario,Wicked Choccy's → Atlantic
CA-2021-115238-CHO-TRI-54000,Wicked Choccy's,Ontario,,Atlantic,Standard Class,2024-01-21,2026-07-17,4,908,18.75,5,12.25,6.5,False,Wicked Choccy's → Ontario,Wicked Choccy's → Atlantic
CA-2021-115777-CHO-NUT-13000,Lot's O' Nuts,Quebec,,Atlantic,Standard Class,2024-08-19,2027-02-14,5,909,3.49,1,2.49,1.0,False,Lot's O' Nuts → Quebec,Lot's O' Nuts → Atlantic
CA-2021-117964-CHO-NUT-13000,Lot's O' Nuts,New Brunswick,,Atlantic,Standard Class,2024-12-02,2027-05-29,4,908,24.43,7,17.43,7.0,False,Lot's O' Nuts → New Brunswick,Lot's O' Nuts → Atlantic
CA-2021-117964-CHO-TRI-54000,Wicked Choccy's,New Brunswick,,Atlantic,Standard Class,2024-12-02,2027-05-29,4,908,18.75,5,12.25,6.5,False,Wicked Choccy's → New Brunswick,Wicked Choccy's → Atlantic
CA-2021-119508-CHO-FUD-51000,Lot's O' Nuts,British Columbia,,Pacific,Standard Class,2024-12-04,2027-06-01,5,909,18.0,5,12.0,6.0,False,Lot's O' Nuts → British Columbia,Lot's O' Nuts → Pacific
CA-2021-119508-CHO-NUT-13000,Lot's O' Nuts,British Columbia,,Pacific,Standard Class,2024-12-04,2027-06-01,5,909,20.94,6,14.94,6.0,False,Lot's O' Nuts → British Columbia,Lot's O' Nuts → Pacific
CA-2021-123625-CHO-MIL-31000,Wicked Choccy's,Quebec,,Atlantic,Standard Class,2024-12-29,2027-06-25,4,908,55.25,17,35.87,19.38,False,Wicked Choccy's → Quebec,Wicked Choccy's → Atlantic
CA-2021-123664-CHO-MIL-31000,Wicked Choccy's,Nova Scotia,,Atlantic,Standard Class,2024-12-02,2027-05-29,4,908,16.25,5,10.55,5.7,False,Wicked Choccy's → Nova Scotia,Wicked Choccy's → Atlantic
CA-2021-125388-CHO-SCR-58000,Lot's O' Nuts,Quebec,,Atlantic,Standard Class,2024-10-19,2027-04-15,4,908,14.4,4,10.0,4.4,False,Lot's O' Nuts → Quebec,Lot's O' Nuts → Atlantic
CA-2021-125388-OTH-LIC-15000,Secret Factory,Quebec,,Atlantic,Standard Class,2024-10-19,2027-04-15,4,908,60.0,3,30.0,30.0,False,Secret Factory → Quebec,Secret Factory → Atlantic
CA-2021-126438-CHO-TRI-54000,Wicked Choccy's,Quebec,,Atlantic,First Class,2024-09-10,2027-03-06,3,907,7.5,2,4.9,2.6,False,Wicked Choccy's → Quebec,Wicked Choccy's → Atlantic
CA-2021-126634-CHO-FUD-51000,Lot's O' Nuts,British Columbia,,Pacific,Second Class,2024-12-20,2027-06-14,2,906,18.0,5,12.0,6.0,False,Lot's O' Nuts → British Columbia,Lot's O' Nuts → Pacific
CA-2021-129322-CHO-FUD-51000,Lot's O' Nuts,Ontario,,Atlantic,Second Class,2024-08-08,2027-01-31,2,906,7.2,2,4.8,2.4,False,Lot's O' Nuts → Ontario,Lot's O' Nuts → Atlantic
CA-2021-129322-CHO-SCR-58000,Lot's O' Nuts,Ontario,,Atlantic,Second Class,2024-08-08,2027-01-31,2,906,7.2,2,5.0,2.2,False,Lot's O' Nuts → Ontario,Lot's O' Nuts → Atlantic
CA-2021-129322-CHO-TRI-54000,Wicked Choccy's,Ontario,,Atlantic,Second Class,2024-08-08,2027-01-31,2,906,26.25,7,17.15,9.1,False,Wicked Choccy's → Ontario,Wicked Choccy's → Atlantic
CA-2021-131807-CHO-FUD-51000,Lot's O' Nuts,Alberta,,Pacific,Standard Class,2024-10-05,2027-04-02,5,909,18.0,5,12.0,6.0,False,Lot's O' Nuts → Alberta,Lot's O' Nuts → Pacific
CA-2021-131807-CHO-MIL-31000,Wicked Choccy's,Alberta,,Pacific,Standard Class,2024-10-05,2027-04-02,5,909,13.0,4,8.44,4.56,False,Wicked Choccy's → Alberta,Wicked Choccy's → Pacific
CA-2021-131807-CHO-SCR-58000,Lot's O' Nuts,Alberta,,Pacific,Standard Class,2024-10-05,2027-04-02,5,909,14.4,4,10.0,4.4,False,Lot's O' Nuts → Alberta,Lot's O' Nuts → Pacific
CA-2021-131807-CHO-TRI-54000,Wicked Choccy's,Alberta,,Pacific,Standard Class,2024-10-05,2027-04-02,5,909,15.0,4,9.8,5.2,False,Wicked Choccy's → Alberta,Wicked Choccy's → Pacific
CA-2021-131807-OTH-LIC-15000,Secret Factory,Alberta,,Pacific,Standard Class,2024-10-05,2027-04-02,5,909,100.0,5,50.0,50.0,False,Secret Factory → Alberta,Secret Factory → Pacific
CA-2021-132339-CHO-TRI-54000,Wicked Choccy's,Quebec,,Atlantic,Standard Class,2024-08-19,2027-02-13,4,908,11.25,3,7.35,3.9,False,Wicked Choccy's → Quebec,Wicked Choccy's → Atlantic
CA-2021-139675-CHO-MIL-31000,Wicked Choccy's,Alberta,,Pacific,Second Class,2024-03-13,2026-09-08,5,909,26.0,8,16.88,9.12,False,Wicked Choccy's → Alberta,Wicked Choccy's → Pacific
CA-2021-139675-CHO-SCR-58000,Lot's O' Nuts,Alberta,,Pacific,Second Class,2024-03-13,2026-09-08,5,909,14.4,4,10.0,4.4,False,Lot's O' Nuts → Alberta,Lot's O' Nuts → Pacific
CA-2021-141531-CHO-MIL-31000,Wicked Choccy's,Quebec,,Atlantic,Standard Class,2024-12-29,2027-06-25,4,908,22.75,7,14.77,7.98,False,Wicked Choccy's → Quebec,Wicked Choccy's → Atlantic
CA-2021-143500-CHO-SCR-58000,Lot's O' Nuts,Prince Edward Island,,Atlantic,Standard Class,2024-12-30,2027-06-26,4,908,10.8,3,7.5,3.3,False,Lot's O' Nuts → Prince Edward Island,Lot's O' Nuts → Atlantic
CA-2021-146626-CHO-SCR-58000,Lot's O' Nuts,Newfoundland and Labrador,,Atlantic,Standard Class,2024-12-29,2027-06-28,7,911,18.0,5,12.5,5.5,True,Lot's O' Nuts → Newfoundland and Labrador,Lot's O' Nuts → Atlantic
CA-2021-151799-CHO-MIL-31000,Wicked Choccy's,Ontario,,Atlantic,Standard Class,2024-12-14,2027-06-10,4,908,26.0,8,16.88,9.12,False,Wicked Choccy's → Ontario,Wicked Choccy's → Atlantic
