State/Province,State Code,Region,Total_Shipments,Average_Lead_Time,Lead_Time_Variability,Delay_Frequency,Sales,Gross_Profit
Alabama,AL,Gulf,53,4.377358490566038,1.5959855297967944,0.20754716981132076,995.11,622.11
Alberta,,Pacific,22,5.136363636363637,0.7101612523427369,0.3181818181818182,530.32,326.3
Arizona,AZ,Pacific,190,4.378947368421053,1.9716452849055766,0.3157894736842105,3587.55,2290.11
Arkansas,AR,Gulf,48,4.791666666666667,2.082943225887231,0.4166666666666667,891.9399999999999,588.02
British Columbia,,Pacific,22,4.7272727272727275,0.9351250581921515,0.13636363636363635,290.90000000000003,198.3
California,CA,Pacific,1686,4.202253855278767,1.831480637794778,0.2402135231316726,27917.4,18479.420000000002
Colorado,CO,Pacific,140,3.914285714285714,1.79321548852436,0.16428571428571428,2544.91,1694.63
Connecticut,CT,Atlantic,74,4.013513513513513,2.1164278721872494,0.22972972972972974,980.57,653.83
Delaware,DE,Atlantic,80,4.6875,1.7032638066185488,0.325,1323.59,861.71
District of Columbia,DC,Atlantic,8,5.75,0.4629100498862757,0.75,142.25,95.85
Florida,FL,Gulf,319,4.300940438871473,1.867556266459194,0.2727272727272727,4804.02,3207.11
Georgia,GA,Gulf,151,4.251655629139073,1.8446988662881456,0.2185430463576159,2692.84,1751.32
Idaho,ID,Pacific,18,3.9444444444444446,1.5135553089341052,0.16666666666666666,225.25,152.15
Illinois,IL,Interior,433,4.496535796766744,1.581318018369568,0.24480369515011546,6898.96,4557.68
Indiana,IN,Interior,123,4.626016260162602,1.7101355232642124,0.3170731707317073,2002.78,1343.44
Iowa,IA,Interior,26,4.6923076923076925,1.9135146880905984,0.4230769230769231,400.37,269.96999999999997
Kansas,KS,Interior,23,4.173913043478261,1.5270939101039855,0.13043478260869565,263.18,179.22
Kentucky,KY,Gulf,112,4.276785714285714,1.6614864799441866,0.22321428571428573,1880.63,1242.37
Louisiana,LA,Gulf,38,3.4473684210526314,1.5887674709703923,0.05263157894736842,525.21,347.45
Maine,ME,Atlantic,7,4.857142857142857,0.8997354108424375,0.2857142857142857,126.48,85.10000000000001
Manitoba,,Interior,8,3.5,1.1952286093343936,0.0,138.25,90.27
Maryland,MD,Atlantic,80,4.275,1.7999648379125406,0.1875,1476.99,997.57
Massachusetts,MA,Atlantic,106,4.226415094339623,1.5386018320164174,0.16037735849056603,1806.99,1179.99
Michigan,MI,Interior,209,4.358851674641149,1.8709393522037496,0.3014354066985646,3331.0,2236.21
Minnesota,MN,Interior,75,5.013333333333334,1.6805190103489296,0.32,1161.46,779.28
Mississippi,MS,Gulf,43,4.441860465116279,1.578159349510498,0.2558139534883721,844.1800000000001,557.94
Missouri,MO,Interior,56,4.357142857142857,1.4945789486561873,0.21428571428571427,882.83,595.41
Montana,MT,Pacific,12,4.583333333333333,1.7816403745544227,0.16666666666666666,202.11,135.47
Nebraska,NE,Interior,33,3.6363636363636362,1.8169029593339223,0.12121212121212122,483.53000000000003,327.89
Nevada,NV,Pacific,36,4.472222222222222,2.0352060072787452,0.3611111111111111,759.46,469.48
New Brunswick,,Atlantic,8,4.25,0.46291004988627565,0.0,172.72,118.72
New Hampshire,NH,Atlantic,26,3.8846153846153846,1.6811168448843306,0.11538461538461539,428.27,264.53
New Jersey,NJ,Atlantic,108,4.787037037037037,1.702394827338285,0.3611111111111111,1578.35,1017.76
New Mexico,NM,Pacific,34,5.0588235294117645,1.5362523559779404,0.35294117647058826,502.71,335.17
New York,NY,Atlantic,942,4.3588110403397025,1.8309889630326204,0.26857749469214437,15541.03,10222.44
Newfoundland and Labrador,,Atlantic,5,7.4,2.3021728866442674,0.8,162.0,112.5
North Carolina,NC,Gulf,216,4.287037037037037,1.7891191852660329,0.23148148148148148,3450.86,2331.16
North Dakota,ND,Interior,5,3.6,1.3416407864998738,0.2,109.66,73.96
Nova Scotia,,Atlantic,6,3.6666666666666665,1.0327955589886446,0.0,87.5,56.900000000000006
Ohio,OH,Atlantic,392,3.9183673469387754,1.9425164652203788,0.21428571428571427,6768.95,4413.03
Oklahoma,OK,Interior,56,4.571428571428571,1.9804236723685977,0.35714285714285715,877.65,595.91
Ontario,,Atlantic,41,3.4390243902439024,1.184246184030265,0.0,814.57,542.57
Oregon,OR,Pacific,105,4.495238095238095,1.73273799299864,0.34285714285714286,1920.15,1253.11
Pennsylvania,PA,Atlantic,487,4.211498973305955,1.638788826668824,0.19301848049281314,8027.03,5225.47
Prince Edward Island,,Atlantic,8,5.25,0.7071067811865475,0.375,130.1,88.66
Quebec,,Atlantic,38,4.7631578947368425,1.6346618879477683,0.23684210526315788,597.68,381.36
Rhode Island,RI,Atlantic,46,3.8043478260869565,1.627807867687793,0.1956521739130435,805.76,501.84000000000003
Saskatchewan,,Pacific,2,5.5,0.7071067811865476,0.5,29.25,18.99
South Carolina,SC,Gulf,34,3.7941176470588234,1.805369294291352,0.11764705882352941,601.07,398.83
South Dakota,SD,Interior,8,5.375,1.1877349391654208,0.625,151.34,104.14
Tennessee,TN,Gulf,151,4.76158940397351,1.5218787041965516,0.33112582781456956,2383.56,1573.52
Texas,TX,Interior,833,4.241296518607443,1.7631713805013727,0.23649459783913565,13416.09,8909.53
Utah,UT,Pacific,44,4.545454545454546,1.4379336830868112,0.25,856.41,556.21
Vermont,VT,Atlantic,10,4.0,0.9428090415820634,0.1,162.44,109.98
Virginia,VA,Gulf,185,4.0,1.7067640370774366,0.16756756756756758,3177.84,2080.84
Washington,WA,Pacific,432,4.381944444444445,1.9146396356132942,0.26851851851851855,6921.15,4566.64
West Virginia,WV,Atlantic,4,4.0,2.0,0.0,63.97,43.89
Wisconsin,WI,Interior,91,4.384615384615385,1.6651274944128374,0.21978021978021978,1920.5,1219.58
Wyoming,WY,Pacific,1,5.0,0.0,0.0,13.96,9.96
